Key,Context,Source,en-us
Studio.App.SnippetWidget.BuiltinSnippet,,Built-in Snippets,Built-in Snippets
Studio.App.SnippetWidget.Description,,Description,Description
Studio.App.SnippetWidget.MySnippetPacks,,My Snippet Packs,My Snippet Packs
Studio.App.SnippetWidget.NewSnippetName,,Snippet,Snippet
Studio.App.SnippetWidget.NewSnippetPackName,,Snippet Pack,Snippet Pack
Studio.App.SnippetWidget.Prefix,,Prefix,Prefix
Studio.App.SnippetWidget.ShowInAutocomplete,,Show in Autocomplete,Show in Autocomplete
Studio.App.SnippetWidget.Snippet,,Snippet,Snippet
Studio.App.SnippetWidget.SnippetName,,Snippet Name,Snippet Name
Studio.App.SnippetWidget.SnippetPackName,,Pack Name,Pack Name
